m.a.	sítil dømis
mjámýltur	sískarpleittur
mjáur	sítrongur,úrklænur
mjávaksin	sírakfallin
mjesk	síát
mjeska	síeta,herkja
mjóflagg	síeyðkenni
mjógvi	sírók
mjóhundur	síhundur
mjóki	sírók
mjólittur	sílitaður
mjólk	Samheiti:blikkamjólk,bróstamjólk,dósamjólk,geitarmjólk,geldkúgvarmjólk,kúgvarmjólk,kúmjólk,mjólkarskol,mjólkarsopi,mjólkarvatn,mjólksopi,móðurmjólk,neytamjólk,nýmjólk,oskamjólk,oskramjólk,ostamjólk,pakkamjólk,rámjólk,seyðamjólk,skírnarmjólk,tíkarmjólk,trøllamjólk↔drekkivatn,mjólka,turrmjólk
mjólka	Samheiti:blóðtroyta,boppa,buppa,dryppa,kváða,kvæða,nugga,sutta,súgva,trásúgva,troyta,tuka,turrmjólka,turrsúgvablóðtroyta, troyta kúnna (t.e. súgva tóma);dryppa, mjólka, turrmjólka kúnni;fara, ganga, vera til neyta, neytar;fara undir kúnna;fáa at súgva;fáa boppu, bróst, buppu;ganga undir kúgv;kváða, kvæða kvígu;kvíggja neytum t.e. mjólka neytum;selja, síla kúnni niður;seta kúnna til einmáls, einsmáls;taka kúgv á oskbási;liggja at brósti;súgva boppuna, buppuna, júgrið, mammu sína;vera undir kúnni;vera uppiundir (um lamb)(niðursald)niðursílað(geva mjólk)mjólka,kváða,kvæðageva at, lata súgva;geva boppu, bróst, buppu;hava á brósti;leggja at brósti;mjólka oskamjólk, oskramjólk, rámjólk;selja niður;standa á ásbási, oskabási, oskbási;vera mylkin, opin (um kvinnu);vera opin (t.e.) ikki vera slept;□kúgvin er troytin, togast væl;kvígan kváðar, kvæðar (er sostatt hálvgingin);tað kváðar, kvæðar úr boppuni t.e. kváð kemur úr↔boppa,drekka,júgrast,mjólk,sleppastAndheiti:sleppast
mjólkafiskur	sífiskur
mjólkarbátur	sísjófar
mjólkarbiði	síspann
mjólkarbúð	sísølubúð
mjólkarbúkur	síátari
mjólkardylla	síspann
mjólkarfiti	sífitievni
mjólkarfløska	sífløska
mjólkarhús	síbygningur,sølubúð
mjólkarhvítur	síbleikur,litaður
mjólkarmatur	símatur
mjólkarpottur	sípottur
mjólkarprísur	síprísur
mjólkarsíla	sískiljari
mjólkarskol	símjólk
mjólkarsopi	símjólk
mjólkarspann	síspann
mjólkarstampur	síkassi
mjólkarstudningur	síhjálp
mjólkarsøla	sísølubúð
mjólkarúrdráttur	símatur
mjólkarvatn	símjólk,vatn
mjólkarvirki	sísølubúð
mjólkgreytarpottur	sípottur
mjólki	síísáð
mjólkingarskammil	sísessur
mjólkkúgv	síneyt
mjólkneyt	síneyt
mjólksopi	símjólk
mjólkær	síseyður
mjóma	sískríggja
mjónarliður	síliður
mjóvagongd	síbakkagonga
mjóvi	sírók
mjúkbeittur	síloðin
mjúkeggjaður	síóhvassur
mjúkleiki	Samheiti:bloti,bloyta↔bloyta,linur
mjúkliga	sívandaliga
mjúkligur	sígóðsintur,kensluligur,linur
mjúklyntur	sígóðsintur,kensluligur
mjúkmæltur	sígóðsintur,mæltur
mjúkorðaður	sígóðsintur
mjúkrendur	síkensluligur
mjúkullaður	síullaður
mjúkur	sígóðsintur,linur,lítillátin,óhvassur,skjótførur,smikrandi
mjædd	sístrekki
mjækka	síminka
mjækkast	síminka
mjækki	sírók
mjøður	sírúsdrekka
mjøl	sísmildur
mjølhestur	síklumpur
mjølklumpur	síklumpur
mjøll	síkavi
mjøllur	síkavi
mjølmatur	símatur
mjølsekkur	síposi
mjølstova	síhøli
mjølv	sílitevni
mjølva	síknúsa,stroya
mjølvutur	sísmákornutur
mjørkabakki	sítoka
mjørkabelti	sítoka
mjørkabrúgv	sítoka
mjørkadagur	sítoka
mjørkadriv	síregn
mjørkaflóki	sítoka
mjørkakendur	sítokutur,vátur
mjørkakloddi	sítoka
mjørkakógv	sítoka
mjørkakóv	sítoka
mjørkalind	sítoka
mjørkalúður	síávaring
mjørkaregn	síregn
mjørkaskin	síljósglæma
mjørkaskýggj	sítoka
mjørkasubb	síregn
mjørkasurk	síregn
mjørkatám	sítoka
mjørkatos	sítos
mjørkatrøll	síseyður
mjørkaveður	sítoka
mjørkavillur	sívillast
mjørkaæl	síregn
mjørki	sítoka
modna	sírotna
modnaður	sírotin
modnaroykur	síluktur
moð	sísindur
moðin	sírotin
mogga	síkuta,makast
moggari	síknívur,leyslyntur persónur,vátur
mogghøvd	síbýttlingur
mokatrygil	sísjófar
mokki	sísjófar
mola	síknúsa
molamaður	sífátækafólk
molamatur	símatur
molar	sísmildur
molari	síross
molatúrur	sígonga
mold	Samheiti:áskot,eplamold,eyrmold,eyrveka,eyrvika,eyrvikujørð,eyrvøka,eyrvøkujørð,fruktmold,garðamold,garðmold,gróðrarbotnur,grund,jarðarbotnur,jarðargrund,jarðbotnur,jørð,jørðildi,kirkjugarðsmold,leirjørð,leirmold,lendi,matarmold,moldartorva,moldblak,moldbøkil,moldbøkkur,moldklumpur,moldrúgva,moldtorva,moldvarpa,oyðimold,runa,runublak,runubloti,runudíki,runudyndi,ryðmold,sandjørð,sandmold,seiglendi,sorta,soyrlendi,stari,svarðlag,svørður,undirlendi,veggjamold,vørildmoyrt lendi;soyr jørð, mold↔dyrking,flag,jarðarbrúk,jarðarstykki
moldaður	síjarða
moldarroði	sílíkdæmi
moldarskítur	sívánamaður
moldarsmakkur	sísmakkur
moldartorva	símold
moldartrot	síknykil
moldartroti	síknykil
moldast	sídyrka
moldbakkalamb	síseyður
moldbakki	síbakki
moldblak	síblak,mold
moldbrúnur	sílitaður
moldbundin	síforgeingiligur
moldbøkil	símold
moldbøkkur	símold
moldepli	síepli
moldgarður	sígarður
moldgólv	síundirlag
moldgýðingur	síkargakoka
moldhola	síbygningur
moldklumpur	símold
moldrok	sírokilsi
moldrokilsi	sírokilsi
moldrúgva	símold
moldskriða	sígrót
moldsmakkur	sísmakkur
moldtorva	símold
moldtrot	sítørvur
moldul	sískefti
moldutur	sískitin,smakkringur
moldvarpa	símold
moldvelta	síjarðarstykki
molgra	síbrotna,knúsa,kuta,slíta upp
molgrutur	síaldutur
moli	síbrenni,bryggja,garður,matur,sindur
molna	síbrotna
molnutur	síbrákaligur
moltast	sírotna
moltin	sírotin
moltna	símaka,rotna
molutur	sískitin
momma	símóðir
mommuepl	síepli
mon	síull
mona	síkuta,ull
monaður	sínakin
mondul	sískefti
mongd	sínøgd
monningur	sípeningur
mora	síknúsa
morandi	síógvuliga
morbíldutur	sílitaður
morblikutur	sílitaður
morbróðir	sískyldfólk
morbøkutur	sílitaður
morbøkutur tyrningur	sífuglur
mordaramark	síeyðkenni,sár
mordari	sídrápsmaður
mordisjutur	sílitaður
morð	sídráp
morða	síavlíva
morðari	sídrápsmaður
morðbrandur	síóflýggjakroppur
morðgírigur	síhevnisøkin
morðgírugur	síhevnisøkin
morðjarn	síavtakafólk,knívur
morðmenni	sídrápsmaður
morðroynd	síbrotsroynd
morena	sígrót
morenugrýti	sígrót
moreyglittur	sílitaður
morflekkutur	sílitaður
morgjørðutur	sílitaður
morgla	síknúsa,kuta
morgna	sílíðaSamheiti:blána,bresta,bretta,dagna,degna,gríma,gryðja,grýa,ljósna,lýsa,lýsna,sprettabirta, birtast, bregða, brýna, glíggja, glugga, gríma, skríma, tynna fyri degi;blána, gríma, roða í eystri;byrja, fara, taka at blána, degna, lýsa o.fl.;gerast, verða dagur;glíggja, glugga, lýsa av degi;roða fyri sól↔árrisin,líða,ljósglæma,morgun,morgunmaður,tíðliga
morgráur	sílitaður
morgulmutur	sílitaður
morgulur	sílitaður
morgulutur	sílitaður
morgun	Samheiti:birting,bláning,bretting,dagbretting,dagsbrúgv,dagsbrún,dagslýsi,degning,degningur,dimmalætting,dimmilætting,grálýsi,hálvalýsing,lýsing,morgunmatartíð,morgunstund,morguntíð,sólarris,sólarrenning,sólaruppkoma,uppfaringartíð(dagur)dagstíð,eystur,hádegi,hádegisskeið,hádagur,middagsleiti,middagsmund,middagur,middegi,nón,nónbil,nónstíð,nóntíð,vestur,vesturtíðalljósur, ljósur dagur;um middagslag(ið), middagsleitið;□dagurin er ungur, náttin er ung↔árrisin,dimmi,ljósglæma,morgna,morgunmaður,tíðliga
morgunbiti	símatur
morgunblað	sískriv
morgunbreyð	símatur
morgunbøn	síbønarhald
morgundimmi	sídimmi,myrkur
morgundrekka	símatur
morgundrumbur	sísjeysovari
morgundøgg	síregn
morguneldur	síeldur
morgunfiskur	sísvøvntungur
morgunfólk	síárrisin,morgunmaður
morgunfróur	síglaður
morgunfúsur	síárrisin
morgungáva	sígáva
morgunglæma	síljósglæma
morgungráur	sítokutur
morgungron	sívreiði
morgungul	sívindur
morgunilska	sísjúka
morgunlestur	síbókalestur
morgunljótur	sítokutur,vreiður
morgunlot	sívindur
morgunlundi	sífuglur
morgunlýsi	síljósglæma
morgunlættur	síárrisin
morgunmaður	síárrisinSamheiti:morgunfólk,morgunravnur↔árrisin,morgna,morgun,tíðligaAndheiti:kvøldmaður,sjeysovari
morgunmatarboð	síboðan
morgunmatarborð	símatur
morgunmatarleysur	sísvangur
morgunmatartíð	símorgun
morgunmatur	símatur
morgunmáli	símatur
morgunmessa	síkirkjugangur
morgunravnur	síárrisin,morgunmaður
morgunroði	síljósglæma,roði
morgunsangur	sísynging
morgunsálmur	sísangur
morgunsjúkur	sítokutur
morgunskav	síeftirbátur
morgunskin	síljósglæma
morgunsongur	sísynging
morgunsól	síljósglæma
morgunstund	símorgun
morgunsvøvntur	sísvøvntungur
morgunsvøvnur	sísjeysovari,svøvnur
morguntíð	símorgun
morguntungur	sísvøvntungur
morguntýður	síárrisin,glaður
morgunvakt	sívaktarhald,vaktari
morguva	síævintýrhugtak
morhálsutur	sílitaður
morhølsutur	sílitaður
morhøttutur	sílitaður
moriglutur	sílitaður
morja	síkuta
morkin	sírotin
morkna	sírotna
morl	sísmildur
morla	síknúsa
morlast	síbrotna
morleittur	sílitaður
morligur	sílitaður
morlijarn	síknívur
morlittur	sílitaður
morlutur	síbrákaligur
mormýsutur	sílitaður
moroygdur	sílitaður
morreyður	sílitaður,ósømiligur
mors	síriðil
morsa	síbákna
morskjómutur	sílitaður
morskjórutur	sílitaður
morskúmutur	sílitaður
morskýggjutur	sílitaður
morskørvutur	sílitaður
morsokkutur	sílitaður
morsprøklutur	sílitaður
morsvartur	sílitaður
mortítlingur	sífuglur
mosa	síknúsa
mosabarki	sífiskur
mosabóndi	sívánamaður
mosabøkkur	sífjall
mosaeyga	síjarðarstykki
mosagangast	sígrógva
mosagingin	síloðin
mosagrógvin	síloðin
mosagrót	sígrót
mosaklingra	síjarðarstykki
mosalendi	síjarðarstykki
mosamikil	síloðin
mosaskotin	síloðin
mosasteinur	sígrót
mosatorv	síbrenni
mosatorva	sífjall
mosatúgva	sífjall
mosavaksin	síloðin
mosavøllur	síjarðarstykki
moska	síkirkja
mostir	sískyldfólk
motell	síbústaður,bygningur
motorbátur	sísjófar
motorlarmur	síljóð
motorskip	sísjófar
motorur	sísjófarSamheiti:bensinmotorur,dieselmotorur,jetmotorur,leysamotorur o.fl.(maskina)dampmaskina,guvumaskina o.fl.(verk)driv,gonguverk,klokkuverk,maskinarí,urverk o.fl.
motta	síteppi
moy	síkvinna
moybarn	síbarn,kvinna
moydómur	síhinnaSamheiti:glas,jomfrúband,moyggjarnavn↔kvennskøp
moyggj	síkvinna
moyggjarnavn	símoydómur
moyrbangaður	síavbardur
moyrbardur	síavbardur
moyrka	síbloyta
moyrkast	sírotna
moyrkna	sírotna
moyrmoldaður	sílinur
moyrna	sírotna
moyrnaður	sírotin
moyrur	síbrákaligur,linur,rotin
móbakki	síbakki,mógvur
móbøkkur	símógvur
módíki	síkelda,mógvur
móða	síepli,skúm,skúma
móðbiti	síkrotur,spik
móðir	sískyldfólkSamheiti:barnamamma,barnamóðir,mamma,momma,tíkarmamma,ungamamma(lánsmóðir)burðarmóðir↔avvarðandi,kvinna,pápi
móðmikil	sídjarvur,óttaleysur
móður	sídirvi,sorg,útmøddur,vreiði
móðuralskur	síkærleiki
móðurarvur	sígáva
móðurbarn	síhvør einasti
móðurbróðir	sískyldfólk
móðurdóttir	síkvinna
móðurepli	síepli
móðurfaðir	sískyldfólk
móðurfang	síføvning
móðurfelag	sífelag
móðurfólk	sískyldfólk
móðurgrýti	sígrót
móðurkensla	síkærleiki
móðurkærleiki	síkærleiki
móðurland	síheimland
móðurleysur	síeinsamallur
móðurliga	síyndisliga
móðurloysingur	síseyður
móðurlutur	síkvennskøp
móðurmál	sítungumál
móðurmálslærari	sílærarafólk
móðurmálsorðabók	síyvirlit
móðurmerki	síblettur,eyðkenni
móðurmjólk	símjólk
móðurnavn	sínavn
móðurplanta	síurt
móðurráð	síleiðbeining
móðurskip	sísjófar
móðursystir	sískyldfólk
móðurtunga	sítungumál
móðurætt	sískyldfólk
móðuskúm	sískúm
móðuskúmur	sískúm
móðutur	sískúmutur
mófløta	símógvur
mógras	sígras
mógva	símáttsúgva
mógvast	sítroyttast
mógveyga	símógvur
mógvhagi	síjarðarstykki,mógvur
mógvheyggjur	símógvur
mógvisamur	sítorførur
mógvisligur	sísjúkur
mógvur	Samheiti:bláherðingur,blámógvur,bláramógvur,bláramóstægingur,flusmógvur,hagamógvur,heyggjamógvur,jøkil,jøklatorv,kolamógvur,móur,myldingur,mýrimyldingur,spikmógvur,tvískurður,tægingsmyldingur,undirmógvur,yvirmógvurfeitur mógvur(mólendi)móbakki,móbøkkur,módíki,mófløta,mógveyga,mógvhagi,mógvheyggjur,mójørð,mókassur,móklingra,mókulla,mólind,mólægd,mómold,mómýri,mósoyði,torvdíki(torvheiðar)heiðar,heiði,húsaheiðar,olmussuheiðar(mómikil)við góðum, nógvum mógvi(mókendur)blandaður við mógvi(móringur)vánaligur til mógv;við ringum, vánaligum mógvi↔brenni,torveyga
mójørð	símógvur
mók	símáttloysi,óvit
móka	síendurtaka,máttsúgva,slíta upp,troyttast
mókaður	síútmøddur
mókaligur	síútmøddur
mókasligur	sítorførur
mókassur	símógvur
mókast	símatast burtur,troyttast
mókendur	símógvur
móklingra	símógvur
móklæði(r)	síklæði(r)
mókulla	símógvur
mókur	sísvøvnur
móleittur	sílitaður
mólendi	símógvur
mólind	símógvur
mólittur	sílitaður
mólægd	símógvur
mómikil	símógvur
mómold	símógvur
mómýri	síkelda,mógvur
móra	sídálk
móringur	símógvur
móroykur	síluktur
mórubotnur	síbotnur
mórudíki	síkelda
móruhol	síkelda
mórutur	síbleytlendur,skitin
móruvatn	sívatn
móskítur	sívánamaður
mósoyði	símógvur
mósteinur	sígrót
mósungi	síungi
mót	sídirvi,fundur,ímóti,lutfalsliga,rók,skarð,skoyti
móta	sístyrkja
mótablað	sískriv
mótabundin	sítíðarhóskandi
mótabúð	sísølubúð
mótadukka	sípyntidukka
mótaður	sídjarvur
mótahandil	sísølubúð
mótaklæði(r)	síklæði(r)
mótaprinsur	sípyntidukka
mótatsókn	síálop
mótálop	síálop
mótbílæti	síeftirgerð,líki
mótboð	síavboð,mótvilji
mótbragd	síálop
mótbrekka	síhalli
mótburður	síhindur
mótbyrur	sívindur
mótdráttur	síhindur
móteitur	síeitur
mótfallin	Samheiti:dapurskygdur,dáðleysur,dirvisleysur,dirvislítil,fagnarleysur,fáligur,fánaður,fjaðaleysur,forsuffaður,fugletin,gremjukendur,hopleysur,hugbrotin,hugfallin,huglítil,hugskuleysur,hugsprongdur,hvokkin,kúrandi,kúrin,mótleysur,mótlítil,nakkleysur,ódjarvur,ráðaleysur,ráðavillur,ráðleysur,ráðvillur,stúrin,stúrsin,svartskygdur,undanfírin,undanførin,undanførligur,undanleggiligur,undanleggin,veiklyndur,viljaleysur,viljaveikur,viljaviknaður,víkiligur,víkin,vónbrotin,vónleysur,vónlítil,vónskerdur,vónsprongdur,vónsvikinbangin, ræddur av sær;dapur í huga;fallin burtur úr royvum;fallin í fátt, vónloysi;fyri ongum;ikki álvuligur, ikki djarvur;í døpurhuga;lítið djarvur;sálarliga illa fyri, nívdur, veikur;stúrin um framtíðina;uttan álit á...;uttan vón fyri, um...;við uppgávurødd;○sum hevur mist mátt og megi, mótið;sum hvørki veit til høvur ella hala;□hann hevur ongar, ringar krillur;hann letur altíð so illa at;hann stendur (og bínir, nípir) sum ryssa uppi yvir deyðum fyli;har sæst eingin glotti, einki ljós fyri framman;hvokkin er hann Grímur á skóg;nú er lítið um hann↔bangin,fólkaskýggin,her gerst einki,lánkasliga,lítillátin,mótloysi,nipin,ógvast,ræða,ræðast,ræðsla,ræðuskítur,uppikastaðurAndheiti:djarvur,glaður,óttaleysur
mótførsla	símótmæli
mótgangur	síhindur
mótglaða	síboðan,svar
mótgonga	síhindur
mótgongd	síhindur
mótgóður	sídjarvur
mótgrein	símótmæli
móthugi	símótvilji
móti	síímóti,lutfalsliga,tíðarrák
mótiburður	síhindur
mótigur	sídjarvur
mótiróður	síróður
mótistøða	síhindur
mótitøka	símóttøkaSamheiti:fagnaðuropið hús↔móttøka
mótkollvelting	síbylting
mótkrav	síkrav
mótleikari	símótstøðumaður
mótleikur	síálop
mótleysur	símótfallin
mótlítil	símótfallin
mótloysi	Samheiti:dáðloysi,dirvisloysi,fáttur,gremja,hugloysi,kreym,mishop,mislag,mistreyst,mistreysti,ódirvi,ómansskapur,ráðaloysi,ráðloysi,sinnistyngd,uppgávuhugur,uppgávulyndi,vantreyst,vantreysti,veiklyndi,viljaloysi,vónloysivæntandi áræði, dirvi, hugur, vilji at...↔bangin,fólkaskýggin,mótfallin,ógvast,ræða,ræðast,ræðsla,ræðuskítur,troystarloysiAndheiti:dirvi,vón
mótloysingur	síræðuskítur
mótmaður	símótstøðumaður
mótmikil	sídjarvur
mótmæla	Samheiti:mótsigaandøva, berjast, bussa, butast, mussa, muta, mæla, orða (aftur)ímóti;gerast treiskur, tvørur;gera, sýna, veita mótstøðu;halda, leggja ímóti;halda, standa fast upp á, við sítt;hava, mutla, siga, treiskast, træta, tvørra ímóti;ikki bakka, ikki slaka;ikki geva eftir, upp, yvir;ikki geva seg, ikki gevast;ikki lata alt um seg ganga;ikki lata seg yvirtala;ikki lata sær (alt) lynda, siga;ikki stinga upp fyri e-m;ikki vilja sum hini;ikki vilja viðganga at...;lýsa ósatt;nokta fyri at so er;reisa høvur;reka aftur;røða, tala, tosa, vera ímóti;seta føtur í spenni;seta hart móti hørðum;seta seg upp ímóti e-m;siga nei;standa stinnur;svara aftur;taka til mótmælis;vera maður (at svara) fyri seg;vera við sítt;vísa aftur;øna afturímóti;øva (sær) upp ímóti e-m(halda uppá)trámælahalda fast við;halda fram (at...);neyðhalda um (støðu sína);siga vist;standa (fast) upp á at...;tvíhada um (at...);vilja vera við↔fastur,fáa mótstøðu,mótmæli,nokta,noktan,svar,svara,treiskast,trúgvur,verja segAndheiti:eftirlíka
mótmæli	Samheiti:adressa,attala,friðargonga,kravgonga,misálitisváttan,misálitsváttan,mótførsla,mótgrein,mótmælisfundur,mótmælisgonga,mótmælisskriv,móttiltak,mutan,ramaróp,ramaskríggjmutan ímóti↔fáa mótstøðu,mótmæla,mótstøðumaður,noktan,svar,svara,treiskast,verja segAndheiti:játtan
mótmælisfundur	sífundur,mótmæli
mótmælisgonga	símótmæli
mótmælisskriv	símótmæli
mótnjósn	sínjósnan
mótnjósnan	sínjósnan
mótorv	síbrenni
mótpartur	símótstøðumaður
mótprógv	síváttan
mótprógva	síprógva
mótrák	síhindur,streymur
mótrisin	síófúsur
mótsetningur	símótstøðumaður
mótsettur	síaðramáta,andstaddur
mótsiga	símótmæla
mótskapur	símótvilji
mótspælari	símótstøðumaður
mótstaddur	síandstaddur
mótstreymur	sístreymur
mótstøða	síhindur
mótstøðufastur	síórin,óvinniligur
mótstøðuføri	símegi,órin
mótstøðuførur	síharðbalin,órin,óvinniligur
mótstøðulið	símótstøðumaður
mótstøðumaður	Samheiti:andróðursflokkur,andróðursmaður,andstøða,andstøðingur,andstøðublað,andstøðuflokkur,avbjóðari,kappingarneyti,mótleikari,mótmaður,mótpartur,mótsetningur,mótspælari,mótstøðulið,mótstøðurørsla,mótstøðuvalevni,móttelvari,mótvalevni,sambiðilandstødd bløð;andstødd ølv;mótsettar kreftir;persónur í andstøðu↔andstaddur,atsóknarmaður,fáa mótstøðu,fíggindi,harðhjartaður,hjartaloysi,illsemjast,kappast,kapping,kappingarfúsur,mannvándur,mótmæli,ósamdur,ósemja,óvinarliga,verja seg,yppa klandurAndheiti:partamaður,vinur
mótstøðumegi	símegi,órin
mótstøðurørsla	símótstøðumaður
mótstøðuvalevni	símótstøðumaður
mótsyfta	síviðbragd
móttakari	Samheiti:viðtøkumaður↔fáaAndheiti:gevari,gjaldari
móttelvari	símótstøðumaður
móttiltak	símótmæli
móttrýst	sítrýst
móttøka	Samheiti:ímótitøka,mótitøka,viðtøka,vælkoma↔mótitøka
móttøkiligur	sífeingin,kensluligur
móttøkubúgvin	sífeingin,kensluligur
mótugur	sídjarvur
mótur	síímóti,lutfalsliga
mótvalevni	símótstøðumaður
mótvegis	síáraka
mótveiting	sígjald
mótvekt	sítyngd
mótverja	sífyribyrging,vernd
mótvild	símótvilji
mótvilji	Samheiti:agg,andstygd,atfinningarsemi,beiski,beiskleiki,firtni,fokn,grugg,hagg,hatur,heskni,hoyleiði,hoymøði,illfokn,illfokni,illvild,illvilji,leiða,leiði,matleiði,meinskubragd,mishugur,misnøgd,misnøgdarorð,misnøgi,mistokki,mistykki,mótboð,móthugi,mótskapur,mótvild,ófýsi,óhugi,óhugur,ónøgd,ótokki,óvild,óvilji,pikk,pripni,pripp,stikni,stokkaleiði,vaml,viðurstygdeingin, lítil, ringur hugur at...;spýggjandi, standandi vaml;□e-m býðst, stendst við;e-t vekur mótvilja;hatta býður mær, e-m ímóti, fellur mær fyri bróstið(hava mótvilja móti e-m)ikki vera væl við e-n;vera einki við e-n;vera illa í øgn við e-n;vera óblíður↔hata,hatur,illa dámdur,ilskast,kræsin,ónøgdur,vanda,vreiði,vreiðurAndheiti:áhugi,kærleiki,vælnøgd
mótvindur	síhindur,vindur
móur	símógvur
móvatn	sívatn
mua	síbýttlingur,neyt
mubbur	sívánamaður
mudda	síkuta,noyða
muddur	síknívur
muður	símunnur
mulgra	síknúsa
mulna	síbrotna
mulnutur	síbrákaligur
mulpa	sígnaga
multa	sífiskur
muna	sígagna,minnast,rína við
munadyggur	Samheiti:árinamikil,fulldyggur,lítargóður,lítarligur,munagóður,munaligur,munamikil,munandi,munaverdur,munligur,stórhendis,stórvegis,virkinav týdningi;í stóran mun;○sum munar;sum munur er í;□hatta er vert at fáa, kemur væl við;tað er fongur í hasum;tað er gott tøgg í hasum↔dygdargóður,dyggiliga,frálíkur,gagn,gagna,hjálpsamur,hóskiligur,manniliga,megi,megna,mennandi,ríkiligur,rína við,sterkur
munagirnd	sítrá
munagóður	símunadyggur
munaleyst	sívónleyst
munaleysur	síbíligur,dygdarleysur
munaliga	sídyggiliga
munaligur	símunadyggur
munalítið	sívónleyst
munalítil	síbíligur,dygdarleysur
munamikil	símunadyggur
munan	síárin
munandi	símunadyggur
munarhjáorð	síorð
munarleyst	sívónleyst
munarleysur	síbíligur,dygdarleysur
munarlinja	sístrika
munaverdur	símunadyggur
mund	sítíðarskeið
munda	sígrípa,peika
mundast	síivast
mundur	síavgjald,gjald
munga	sítráa
mungin	síøvundsjúkur
mungubiti	síøvundarmaður
mungupetti	síøvundarmaður
mungur	síhungur,trá
mungutur	síøvundsjúkur
munin	síhvaðna
munja	síætla
munkakleystur	síbygningur
munkur	sífuglur,nagli
munligur	símunadyggur
munna	sídrekka,grógva,kyssa,ætla
munnagátt	sísker
munnahella	sígrót
munnast	síkyssa
munnasteinur	sígrót
munnbeiskur	síkópur
munnbera	síkyssa
munnbiti	símatur
munnbíla	síknívur
munnborin	síóskrivaður
munnbærur	síetandi
munnfimur	síorðkringur
munnfittur	símunnkátur,orðkringur
munngoymdur	síóskrivaður
munnhavin	símunnkátur,opinskáraður
munnhøggast	sískeldast
munni	síáarmunni,glopp,inngongdSamheiti:eplamunni,eygamunni á epli
munnkátur	Samheiti:gaputur,gákutur,goffutur,kjaftfimur,kjaftfittur,kjaftkringur,kjaftlættur,málskur,munnfittur,munnhavin,munnlættur,munnreystur,mælskur,orðbrosin,orðfúsur,orðførur,orðhagur,orðhavin,orðleypandi,orðloypin,prátingarsamur,prátmikil,prátríkur,prátutur,skolutur,snakkin,tosingarmikil,tosingarsamur,tosutur,tungulætturfittur, lættur, raskur í gákinum, munninum, mussaskøðnum;gáloysin í orð og tal;íðin at siga eitt;væl kjaftaður;við góðum mussaskøði;○sum dámar væl at tala, ikki dugir at tiga, yvir at stilla;□hann er nógv sigandi, ger ov nógv av, málber seg illa, í ótíð;hann talar við ongum fyriliti, tekur ov rívan til↔busutur,leypa framav,málkynstur,málnýtsla,nasadjarvur,orðkringur,ovtala seg,prátsemiAndheiti:hóvsamur,lítillátin
munnkuldi	síkuldi
munnkýtast	sískeldast
munnkýtingur	síklandursvætti
munnleður	símunnur
munnlestur	síbókalestur
munnligur	síóskrivaður
munnlittur	sílitaður
munnlættur	símunnkátur
munnmæli	símálnýtsla
munnpengar	síendurgjald
munnraskur	síorðkringur
munnreystur	símunnkátur
munnríkur	síorðkringur
munnsár	sísár
munnsjabba	sískeldast
munnsjabbast	sískeldast
munnskeftur	síorðkringur
munnskelmur	síróphol
munnskemd	síillbønavætti
munnskvaldur	símøsnari
munnskøði	símunnur
munnsleip	síorðaskifti,ósemja
munnsleipast	síreypa,skeldast
munnsmakkur	símatur
munnsnildir	símálkynstur
munnsopi	sírúsdrekka
munnstillur	sífámæltur
munnsøgn	sífrásøgn
munntami	síendurtøka,fótatraðk,málnýtsla
munnturrur	sísvangur,tystur
munnur	sídrekkivatn,rúsdrekkaSamheiti:bragd,flabbi,flíggj,flossi,fólkamunnur,gap,gákur,gegl,hol,jemmil,kjaftur,mannamuður,mannamunnur,muður,munnleður,munnskøði,munsaskøði,mussaskøði,mussi,mussur,skrápshola,skøði(undirmunnur)undirmuðurniðari muður, munnur(yvirmunnur)geilatík,yvirmuðurovari muður, munnur(bitmunnur)bitmuður(málbein)múlabein,múlbein(hundskjaftur)kjaftur á hundi↔gómi,tonn
munnvargur	síillbønavætti
munsa	síkyssa
munsaskøði	símunnur
munur	síárin,dýrgripur,sindurSamheiti:aðalmunur,aldursmunur,brekkumunur,býtismunur,dagamunur,dygdarmunur,góðskumunur,greinarmunur,helvtarmunur,hæddarmunur,høvuðsmunur,jarðarmunur,kassamunur,klædnamunur,kynmismunur,longdarmunur,mannamunur,misjavni,misljóð,mismunur,orðamunur,ójavni,ójavnvág,ósambæri,ósamsvar,prísmunur,skilmunur,spenningsmunur,stigmunur,stættamunur,støddarmunur,trýstmunur,tøkumunur,vakstrarmunureitt sindur, fitt, nakað av muni;fittur, góður, lítil, stórur munur(ósamsvar)sjálvmótsøgn,tvístøða,tvørsøgnvantandi samsvar↔andstaddur,árin,ávirkast,broyta,rína við,skilja ímillum,øvutur
mura	sígagn,sinnalag
mureldur	síljósglæma
murga	síóflýggjakroppur
murgur	síóflýggjakroppur
murr	síljóð,synging
murra	sískríggja,syngja,teska
murrikrutt	sífiskur
murrukavi	síkavi
murta	sífiska
murt(a)agn	síagn
murtaberg	sífiskileið
murtakyrra	sígóðveður
murthúkur	síhúkur
murtl	síavlop,yngul
murtn	síavlop,yngul
murtongul	síhúkur
murtur	sífiskur,kallskøp
murubrek	síørvitisskapur
murubrekaður	sísvakur
murubreklingur	sísjúklingur
murukavi	síkavi
musikkskúli	sískúli
musikkur	sítónalag
muslimskur	síátrúni
mussa	síkyssa
mussan	síkyssa
mussareyður	sífríðdæmdur
mussaskøði	símunnur
